,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
40,2 BHK 1115 Sq-ft Flat,62.2 Lac,"Harlur, Bangalore",1,2,0,1115,"5,578",Under Construction,New,4 (Out of 4 floors),None,,"Yes, 2",ABHEE NANDANA is modern architecture coupled with subtle character and delivers premium craftsmanship and uncompromising living spaces to give you the dream Home you've always wanted.,62.2 Lac,"Harlur, Bangalore, Karnataka",,,,,"31,544 per month 31.1 Lac loan for 15 years ",Nagaraja Reddy
41,2 BHK 1050 Sq-ft Flat,65.9 Lac,"Whitefield, Bangalore",2,2,0,1050,"6,276",Ready to Move,New,,1 Covered,,"Yes, 1","Samarth Gajanana Sumuk, located in Bangalore, is a residential development of Samarth Realty Developers. It offers spacious and skilfully designed 2BHK and 3BHK apartments. The project is well equipped with all the basic amenities to facilitate the needs of the residents. The site is in close proximity to various civic utilities.",65.9 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"33,420 per month 33 Lac loan for 15 years ",Y Prasad
42,Residential Plot,23.4 Lac,"Asset Arcadia ,Sarjapur Road,Bangalore",0,0,0,1200,,,,,None,,No,Arcadia Bangalore is a landmark residential project helmed by Asset Builders and comes with residential plots for buyers.The project spreads over an area of 14.38 acres and comes with several amenities and facilities for residents.,23.4 Lac,"Sarjapur Road, Bangalore - East, Karnataka",,,,,"11,861 per month 11.7 Lac loan for 15 years ",Singh
43,3 BHK Flat,91.1 Lac,"Electronic City, Bangalore",3,3,0,1119,,Under Construction,New,,1 Covered,,No,"Built with innovations that make life most perfect, I- Towers redefines modern living. Perfectly located in the hub of South East Bangalore. Integrating technology, design, aesthetics AND a world of sustainable thinking, I - Towers starts and ends with your family and you. I Towers exente is the perfect work - life integration.10 min walk to Infosys, GE, TCS, Tech Mahindra, Schneider Electric, HP AND many other corporatesQuick access to Electronic city phase 1 AND 2.Mere 800 meters from the proposed Metro station.One of the tallest towers in the vicinity with 3 side open view of the city.",91.1 Lac,"Electronic City, Bangalore - South, Karnataka",,,,,"46,200 per month 45.6 Lac loan for 15 years ",Abdul Saleem
44,2 BHK 1238 Sq-ft Flat,57.9 Lac,"Whitefield, Bangalore",1,2,0,1238,"4,677",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 2",Desai Grandeur is an address that invokes a passion for life. Desired by many and enjoyed by a chosen few.,57.9 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"29,363 per month 29 Lac loan for 15 years ",Reddy
45,3 BHK 1395 Sq-ft Flat,67.7 Lac,"Gottigere, Bangalore",3,2,0,1395,"4,853",Under Construction,New,,1 Covered,,"Yes, 2","PARIWAR PRAGATHI is superbly located, JUST 800 meters from the upcoming Metro Station at Gottigere Main Road off Bannerghatta Road, and only 1.Kms before the Nice Road , with quick and easy connectivity to major and prominent locations in Bangalore, such as Electronic City, and the CBD via Bannerghatta Road. At PARIWAR PRAGATHI you can enjoy vast 75% open spaces, as there are only 258 apartments on 4.5 acres of land, with beautiful views of the Nice Road, as well as open place on both sides of the property. PARIWAR PRAGATHI is your address and others landmark.",67.7 Lac,"Gottigere, Kammanahalli Village, Bangalore, Gottigere, Bangalore - South, Karnataka",,,,,"34,333 per month 33.9 Lac loan for 15 years ",Vibin Pariwarpragathi
46,3 BHK 1324 Sq-ft Flat,79.0 Lac,"Kudlu Gate, Bangalore",3,3,1,1324,"5,967",Ready to Move,New,,1 Covered,,"Yes, 1",Brand new 3 BHK Ready to move in flat in kudlu gate with good connectivity for know locations,79.0 Lac,"Prospect Princeton flat no 030 ground floor AECS B block manipal county road begur Bangalore, Kudlu Gate, Bangalore - South, Karnataka",nearby bus stop,New Construction,,,"40,064 per month 39.5 Lac loan for 15 years ",Sripriya
47,4 BHK Villa,1.83 Cr,"Mahalakshmi Misty Meadows,Whitefield,Bangalore",1,4,0,2768,"6,611",Under Construction,New,,None,,No,"Design that complements your lifestyle is a thing of delight. At Misty Meadows, designs excellence is evident everywhere you will find the design philosophy at Misty Meadows refreshing with an international look and feel, illuminated airy space freedom to move around personal indoor and outdoor spaces like patios & terraces, inherent design maturity implies that your lifestyle considerations, no matter what your lifestyle are met.",1.83 Cr,"Whitefield, Bangalore - East, Karnataka",,,,,"92,805 per month 91.5 Lac loan for 15 years ",Srinivas Reddy Vutukuri
48,2 BHK 1035 Sq-ft Flat,43.9 Lac,"Sarjapur Road, Bangalore",1,2,0,1035,"4,241",Under Construction,New,2 (Out of 4 floors),1 Covered,,"Yes, 6","Subhiksha apartments is one of a kind investment opportunity, leading to lots of prosperity. Location wise, amenity wise, and quality wise, it fits the bill when it comes to the discerning seekers of value homes. Hence, Subhiksha means return on investment in every sense.",43.9 Lac,"Kumaraswamy Layout, Bangalore, Sarjapur Road, Bangalore - East, Karnataka",,,,,"22,258 per month 21.9 Lac loan for 15 years ",Rajesh
49,2 BHK 1134 Sq-ft Flat,69.9 Lac,"Whitefield, Bangalore",2,2,0,1134,"6,166",Under Construction,New,5 (Out of 9 floors),None,,"Yes, 2","SBR Horizon is complete with all contemporary comforts you have dreamt of. Every home will impress you with its sheer living space. Indulge your senses and pamper yourself with unrestrained luxury. Hold court in the lavish super-sized living room, where the wide screen image on your plasma panel is rivalled only by the sunrise or sunset view from your open-air room.",69.9 Lac,"Whitefield, Bangalore - East, Karnataka",,,0.2% lower than the avg. price,,"35,462 per month 35 Lac loan for 15 years ",Nagesh Kalam
50,2 BHK 1300 Sq-ft Flat,64.8 Lac,"Kaggadasapura, Bangalore",2,2,0,1300,"4,985",Ready to Move,New,4 (Out of 4 floors),1 Covered,,"Yes, 2","Home is deepest desires with valued features, Welcome to Mathapathi Brundaavan Apartment which is comfortably nestled in the heart of two worlds old and new Bangalore, offering a diverse living experience completely at your fingertips, enjoying all the qualities of full-fledged apartments, While being superbly supported by an additional strong network of immediately accessible amenities, such as like transport links, traditional and new culinary experiences, Top notch Schools, as well as recreational leisure and lifestyle abundance.",64.8 Lac,"Kaggadasapura, Bangalore, Kaggadasapura, Bangalore - East, Karnataka",,,,,"32,862 per month 32.4 Lac loan for 15 years ",Mathapathi
51,3 BHK 183 Sq-m Flat,90.9 Lac,"JP Nagar Phase 5, Bangalore",3,2,0,183,,Under Construction,New,,None,,"Yes, t","R Mountrose Apartment is a brainchild of R Steel & Cement, that long tradition to meet and exceed the expectations of the End user and customers. The project consist of 30 units of 2 and 3 BHK flats that are beautifully crafted for maximum space utilization and comfort of the occupants. Situated in prime location of JP Nagar 5th Phase, we are proud to provide you the impeccable amenities. This property has access from North and South sides hence making it extremely accessible. Our in-house Interior designing experts will help you with variety of interior design options. Our focus is in Building and Developing Residential space to enhance the Quality of lives of the occupants. We have successfully delivered several Residential projects, and continue to be in a progressive mode of developing buildings.",90.9 Lac,"JP Nagar Phase 5, Bangalore - South, Karnataka",,,,,"46,098 per month 45.5 Lac loan for 15 years ",Ali
52,3 BHK 1270 Sq-ft Flat,65.7 Lac,"Kanakapura Road, Bangalore",2,3,0,1270,"5,173",Under Construction,New,4 (Out of 5 floors),None,,"Yes, 2","Value Plus is one of the most valuable projects by MV Varja Developers, located at Anjanapura Main road, Off Kanakapura Road, Bangalore.Its a project with perfect proposition of Quality, Technology and Comfort. It is our pleasure to welcome you to Value Plus, where a Super Luxury Spacious range of 2, 2 .5 and 3 BHK apartment awaits to grant you Ownership of a whole new residential address soon you buy one.",65.7 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,,,"33,319 per month 32.9 Lac loan for 15 years ",Shiva Kumar
53,3 BHK 1341 Sq-ft Flat,53.9 Lac,"Budigere Cross, Bangalore",3,2,0,1341,"4,019",Under Construction,New,,1 Covered,,"Yes, 2","Presenting KSR Basil. One of East Bengaluru's most desirable residential project. Just a 30 minute drive to Whitefield, Basil is home to an active lifestyle that one misses in the chaos of the CBD. With wide open spaces, a host of amenities and wide uncluttered surrounding around the project, Basil will lend new life experiences to you and your family while still being close to all that matters.",53.9 Lac,"Budigere Cross, Bangalore, Karnataka",,,,,"27,334 per month 27 Lac loan for 15 years ",Adarsh Mohan
54,4 BHK Villa,2.38 Cr,"NVT Life Square,Whitefield,Bangalore",4,4,0,3565,"6,676",Under Construction,New,,2 Covered,,No,"NVT Life Square is a fresh experience in villa-living at a community that has been designed to give you double the life and double the living. Its a home thats a reflection of thoughtful design, meticulous planning and obsession to quality of workmanship.Every villa is designed with two access points, one in the front and the other in the rear. The front formal entry has tree-lined in organic pattern and colorful pavers laid on beautiful pathways. The gorgeous living spaces with high ceilings and skylights converge to the informal rear side which opens to the large green spaces with viewing deck, balconies and terraces where one can interact, socialize, relax and lead the community life.",2.38 Cr,"Whitefield, Bangalore - East, Karnataka",,,2.4% lower than the avg. price,,1.2 Lac per month 1.19 Cr loan for 15 years ,Shilpa
55,3 BHK 1480 Sq-ft Flat,81.4 Lac,"Kanakapura Road, Bangalore",3,3,0,1480,"5,500",Under Construction,New,,None,Unfurnished,"Yes, s","Krishna Gardenia Is a BBMP Approved 2 & 3 BHK Residential Apartment located at, Raghuvanahalli off Kanakapura Main Road. ""Krishna Gardenia"" is more than a home, it's a happy community. There is nothing more satisfying than the Convenience of accessibility to a Metro Rail station while enjoying rapid growth & appreciation around you.",81.4 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,,,"41,281 per month 40.7 Lac loan for 15 years ",Prateeth Rai
56,Residential Plot,67.5 Lac,"Bluejay Atmosphere,Tumkur Road,Bangalore",0,0,0,1500,,,,,None,,No,"Bluejay Atmosphere is a wondrous 16 acre paradise of premium villa plots that will take you back in time to the old-world charm of Bangalore. Situated off Tumkur Road, near HMT Layout, Jalahalli; it is blessed with an abundance of nature.",67.5 Lac,"Tumkur Road, Bangalore - West, Karnataka",,,,,"34,231 per month 33.8 Lac loan for 15 years ",Pavitra
57,2 BHK 1060 Sq-ft Flat,49.8 Lac,"Kanakapura Road, Bangalore",2,2,0,1060,"4,698",Ready to Move,New,,None,Unfurnished,"Yes, s","Hills View Meadows is located close to the newly formed 80 feet road connecting Kanakapura Highway and only few minutes away from the renowned schools like National Public School (NPS), hospitals like BGS Global and grocery super stores like Metro Cash and Carry.The location is selected to make it convenient to lead a soothing life with huge greenery of permanent Thurahalli forest reserve views in the front and situated in the middle of the fastest growing south Bangalore BDA layout. This will be next the next posh neighbourhood like Jayanagar or Koramangala with one of the biggest BDA layouts having wide roads, water, electricity and beautiful parks. A rarest opportunity to own a spacious home in a BDA layout at an investment that you can never imagine. Uniquely designed with at most attention to natural light, comfortable living along with highest quality of construction.",49.8 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,,,"25,255 per month 24.9 Lac loan for 15 years ",Venkat
58,Residential Plot,72.0 Lac,"Aditya Palm Grove,Devanahalli,Bangalore",0,0,0,223,,,,,None,,No,"Everything about Aditya Palm Grove works to perfection. Built as a gated community with an impressive entry plaza, the layout is lined with trees, shaded avenues, gardens and parks. From cabling to security, infrastructure at every level is silken smooth. As for amenities, indulge in the joys of a clubhouse, swimming pool and Yoga room. There are dedicated spaces for indoor games and festive celebrations.",72.0 Lac,"Devanahalli, Bangalore - North, Karnataka",,,,,"36,514 per month 36 Lac loan for 15 years ",Noorulla
59,2 BHK 1239 Sq-ft Flat,77.4 Lac,"Amrutahalli, Bangalore",1,2,0,1239,"6,247",Under Construction,New,4 (Out of 4 floors),None,,"Yes, 2","Trendsquares Ortus is a residential development in Amruthahalli, Bangalore. The project is built by Trendsquares Constructions. They provide skilfully designed apartment and apartments with all necessities. It is approved by Karnataka RERA.",77.4 Lac,"Amrutahalli, Bangalore - North, Karnataka",,,,,"39,252 per month 38.7 Lac loan for 15 years ",Gowtham
60,4 BHK 2799 Sq-ft Flat,4.0 Cr,"Malleshwaram, Bangalore",4,4,0,2799,"14,291",Ready to Move,New,,1 Covered,,"Yes, 1","This south-west corner property is situated in a residential zone in one of the oldest localities of Bangalore - Malleswaram. The two roads facing the property are 4th main and 17th cross. The builders have retained as much greenery of the original property as possible during the course of development. The object is a classy, modern residential complex while being as environmentally friendly as possible. The main pedestrian access will be through a large entrance portal to the tastefully designed ground floor. Emphasis has been placed on maximum natural light and ventilation which is available in abundance for each unit. Each unit will feel like an independent house with the advantages of an apartment.",4.0 Cr,"Malleshwaram, Bangalore - Central, Karnataka",,,,,1.5 Lac per month 2 Cr loan for 15 years ,Santosh
61,2 BHK 1516 Sq-ft Flat,77.5 Lac,"Yelahanka, Bangalore",1,2,0,1516,"5,112",Under Construction,New,5 (Out of 5 floors),None,,"Yes, 1","Adithya Tranquil is one such place of residence in North Bengaluru, which is the most sought after area of the Garden City, brings out a new definition of modern living and new-age lifestyle. Every inch of the space adds to the beauty and each unit is enveloped by ample open spaces and has its own identity and uniqueness. Tranquil is a landmark designed for secluded and cosy living environment. With an objective to build spaces for healthy and happy living, the promoters' unstinted commitment towards quality has given rise to this premium project.",77.5 Lac,"Yelahanka, Bangalore, Yelahanka, Bangalore - North, Karnataka",,,,,"39,303 per month 38.8 Lac loan for 15 years ",Shibu
62,3 BHK Villa,90.0 Lac,"NS Infocity,Doddaballapur,Bangalore",3,3,0,1800,"5,000",Under Construction,New,,None,,No,"N.S.Info-City is Located within 15 minutes from International Airport on NH 207. This unique residential lay out of 100 acres is fully developed with commercial complexes, neighbourhood shops and convention halls. More than 500 families are residing and enjoying the facilities of the layout. This gates township has several gardens and theme parks based on various countries of the world.",90.0 Lac,"Doddaballapur, Bangalore - North, Karnataka",,,,,"45,642 per month 45 Lac loan for 15 years ",Kiran Kashi
63,3 BHK 1610 Sq-ft Flat,78.5 Lac,"Kanakapura Road, Bangalore",3,3,0,1610,"4,876",Ready to Move,New,,None,Unfurnished,"Yes, s","""Hara Vijaya Heights"" is strategically located in BANASHANKARI 6th STAGE, off. KANAKAPURA ROAD, U M Kaval, near NICE Jn, Bengaluru. Hara Vijaya Heights is a BBMP approved, G+11 Floors High-rise Apartment consisting of prudentially designed 236 (2 BHK, 3 BHK and 4 BHK duplex pent-houses) luxury flats loaded with latest amenities. Commuting is made easy with the METRO STATION at the rate 500 mtrs from our project and NICE Road access at the rate 700 mtrs from our project. We believe your patronage will add to the stature of ""Hara Vijaya Heights"" and hence hereby offer you an exclusive Privilege of Ownership",78.5 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,1.5% higher than the avg. price,,"39,810 per month 39.3 Lac loan for 15 years ",Mahantesh Nelavigi
64,2 BHK 970 Sq-ft Flat,41.7 Lac,"Panathur, Bangalore",2,2,0,970,"4,299",Under Construction,New,,None,,"Yes, s",Cansa Dhiya is meant for those who want their luxuries lifestyle where everything is within their reach. And for those who wish to have the comfort of apartment living and convenience of a five star hotel.What's more interesting is the genius experts planning creates a feel of an individual home with no wall sharing or area where wall is shared its minimal adding more privacy and exclusivity,41.7 Lac,"Panathur, Bangalore - East, Karnataka",,,,,"21,147 per month 20.9 Lac loan for 15 years ",Anoop Rajan
65,2 BHK Flat,1.54 Cr,"Koramangala, Bangalore",2,2,0,954,"16,143",Under Construction,New,,None,Unfurnished,"Yes, 2","G Corp Residences is a splendid condominium project offering 3 and very few 2 bedroom premium apartments designed and pre certified for IGBC GOLD rating. A cosmopolitan neighborhood, Koramangala is one of Bengalurus most upscale localities.It commands high property prices and is considered to be a highly desirable lifestyle destination. The apartments here have an open glassy facade for uninterrupted view of the greenery and vertical gardens along with amenities like seating alcove, sculptured gardens which blend with the environment and swimming pool with Jacuzzi on the eighth floor.",1.54 Cr,"Koramangala, Bangalore - South, Karnataka",,,,,"78,099 per month 77 Lac loan for 15 years ",soniya Developers
66,2 BHK 1047 Sq-ft Flat,78.2 Lac,"Whitefield, Bangalore",2,2,0,1047,"7,469",Ready to Move,New,13 (Out of 19 floors),1 Covered,,"Yes, 1",Divyasree Republic of Whitefield Bangalore acquires a land of 14.5 acres with key number of unique residing options. This residential undertaking is incorporated of 2 and 3 BHK segments of apartments getting concreted in this span of time.,78.2 Lac,"Whitefield, Bangalore - East, Karnataka",,,0.7% lower than the avg. price,,"39,658 per month 39.1 Lac loan for 15 years ",Nimit Atri
