,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
30,4 BHK 2322 Sq-ft Flat,3.25 Cr,"Malleshwaram, Bangalore",4,4,0,2322,"13,997",Ready to Move,New,,1 Covered,,"Yes, 1","This south-west corner property is situated in a residential zone in one of the oldest localities of Bangalore - Malleswaram. The two roads facing the property are 4th main and 17th cross. The builders have retained as much greenery of the original property as possible during the course of development. The object is a classy, modern residential complex while being as environmentally friendly as possible. The main pedestrian access will be through a large entrance portal to the tastefully designed ground floor. Emphasis has been placed on maximum natural light and ventilation which is available in abundance for each unit. Each unit will feel like an independent house with the advantages of an apartment.",3.25 Cr,"Malleshwaram, Bangalore - Central, Karnataka",,,,,1.5 Lac per month 1.62 Cr loan for 15 years ,Santosh
31,4 BHK 3542 Sq-ft Flat,3.71 Cr,"Binnypete, Bangalore",4,4,0,3542,"10,474",Ready to Move,New,,None,Unfurnished,Yes,"Shapoorji Pallonji Parkwest Phase 2 is a project by Shapoorji Pallonji and Co Limited and situated in Binnypete, Bengaluru. It is a perfect blend of comfort and contemporary style of living. The adequate space and outrageous surroundings have complimented the project very well. The vivid spirit of the interiors and exquisite exteriors will make you feel the positive energy inside the home.",3.71 Cr,"Binnypete, Bangalore - Central, Karnataka",,,24.1% higher than the avg. price,,1.5 Lac per month 1.85 Cr loan for 15 years ,Moinulla Baig
32,3 BHK 1843 Sq-ft Flat,96.2 Lac,"Kanakapura Road, Bangalore",3,3,0,1843,"5,220",Ready to Move,New,18 (Out of 20 floors),1 Open,,"Yes, 3","Unmatched in quality, standing far above the rest, with a view that is unbounded and captivating, Purva Highland merits its name. Within the large lavishly equipped and decorated high-rise apartments, let the pure untouched breeze soothe your nerves. Pamper yourself with the luxuries that Purva Highland has to offer, with its world-class amenities like the amphitheater or the health spa, the clubhouse or the one-of-a-kind swimming pool. Purva Highland is for those who aspire for higher spheres of life.",96.2 Lac,"kanakapura road, Kanakapura Road, Bangalore - South, Karnataka",,,10.8% higher than the avg. price,,"48,789 per month 48.1 Lac loan for 15 years ",Puravankara Puravankara
33,4 BHK 3655 Sq-ft Flat,3.78 Cr,"RT Nagar, Bangalore",4,4,0,3655,"10,342",Ready to Move,New,17 (Out of 17 floors),1 Covered,,"Yes, 3",Presenting HM Tropical Tree with 82% open & green space. Your home will truly be one-of-a-kind. Located in the heart of Bangalore is a home with just 18% built-up area. And we have used the other 82% judiciously to give you a home that compliments your ideas of living in the lap of nature.,3.78 Cr,"RT Nagar, Bangalore - North, Karnataka",,,5.2% lower than the avg. price,,1.5 Lac per month 1.89 Cr loan for 15 years ,Gayathri
34,4 BHK Villa,2.30 Cr,"GR Santhrupthi,Sarjapur Road,Bangalore",4,4,0,3600,"6,389",Under Construction,New,,1 Covered,,No,"Each villa designed in Split level constructions and having exclusive 2 car parkings, Servent room, Multi purpose room, Private garden, Private terrace & Courtyard",2.30 Cr,"Sarjapur Road, Bangalore - East, Karnataka",,,,,1.2 Lac per month 1.15 Cr loan for 15 years ,GR Constructions
35,3 BHK 1359 Sq-ft Flat,59.8 Lac,"Sarjapur Road, Bangalore",3,2,0,1359,"4,400",Under Construction,New,,None,,No,"An abode with privileged amenities and proximity to IT Parks, hospitals and schools, T.G.Ascent is a rare opportunity for uncompromised living. Relax in lush gardens, Sprint on the jogging track, get fit in the gym, take a dip in the swimming pool, host a party in the posh club house, practice cricket , compete in a game of basketball and many more activities to make sure you live your life daily to the fullest.",59.8 Lac,"Sarjapur Road, Bangalore - East, Karnataka",,,13.5% higher than the avg. price,,"30,327 per month 29.9 Lac loan for 15 years ",Sandeep Kumar
36,2 BHK 1098 Sq-ft Flat,55.1 Lac,"Hulimavu, Bangalore",1,2,0,1098,"5,018",Under Construction,New,,1 Covered,,"Yes, 1","Eternity Epic is exquisitely designed homes that incorporate the finest in design and construction. The property is ensconced in a lush green environment with beautifully landscaped surroundings, thoughtfully designed, the homes boast of spacious interiors that are airy and well ventilated and sprawling exteriors with landscaped gardens.",55.1 Lac,"Hulimavu, Bangalore - South, Karnataka",,,,,"27,943 per month 27.6 Lac loan for 15 years ",Sneha M
37,Residential Plot,1.30 Cr,"Nitesh Long Island,Devanahalli,Bangalore",0,0,0,4500,,,,,None,,No,"Nitesh Long Island located on Devanahalli main road is a plotted development with top of the line infrastructure and amenities. With its internationally designed landscape features, promenades and manicured gardens with wide roads and pathways, this development is truly the future of Bangalore. A large capacity water treatment plant and overhead tank has water line termination to every plot. Power supply cables are housed underground for maximum safety and convenience.",1.30 Cr,"Devanahalli, Bangalore - North, Karnataka",,,,,"65,927 per month 65 Lac loan for 15 years ",Murali Krishna
38,3 BHK 1532 Sq-ft Flat,85.0 Lac,"Sarjapur Road, Bangalore",3,3,0,1532,"5,548",Under Construction,New,4 (Out of 4 floors),None,,"Yes, 2","In the Inspira business paradigm, a key element is the time factor. The delivery model has incorporated this scrupulously. The result has been that none of the projects so far has ever been delayed. In a given space, the ability of a builder is to provide ample area and lung Space in an apartment, these have formed the cornerstone of all Inspira-designed apartments. Our well designed spaces oozes with large spaces brimming with opulence exude visual warmth and elegance.",85.0 Lac,"Sarjapur Road, Bangalore, Sarjapur Road, Bangalore - East, Karnataka",,,,,"43,106 per month 42.5 Lac loan for 15 years ",Santosh
39,3 BHK 1538 Sq-ft Flat,92.2 Lac,"Whitefield, Bangalore",3,3,0,1538,"5,995",Under Construction,New,,None,,No,"Brigade Utopia apartments enjoy the location advantage of being at walking distance from major IT parks like ITPL, GR Tech Park, Brigade Tech Park to name a few. Located in Varthur Road, just off main ITPL/Varthur Road, Whitefield road, Brigade Utopia apartments have serene and tranquil atmosphere and are designed to have ample sunlight and ventilation in each and every residential unit. Brigade Utopia has all top end amenities like Swimming Pool, gymnasium, clubhouse, etc. and the interiors are fitted with branded fixtures. Round the clock security, CCTV surveillance etc., are a few notable security features of Brigade Utopia, Varthur Road, Varthur Road and Whitefield Bangalore.",92.2 Lac,"Whitefield, Bangalore - East, Karnataka",,,19.8% higher than the avg. price,,"46,758 per month 46.1 Lac loan for 15 years ",Prakash Pandey
